Ilan_ID,Ilan_Tarihi,Marka,Model,Yil,KM,Vites,Yakit,Renk,Sehir,Fiyat_TL,Aciklama
100000,2026-04-29,Renault,Symbol,2017,120153,Yarı Otomatik,LPG & Benzin,Siyah,Kocaeli,569770,Sahibinden temiz 2017 model Renault Symbol. Tüm bakımları zamanında yapılmıştır.
100001,2026-05-02,Volkswagen,Tiguan,2019,69942,Manuel,LPG & Benzin,Mavi,Gaziantep,1095087,Sahibinden temiz 2019 model Volkswagen Tiguan. Tüm bakımları zamanında yapılmıştır.
100002,2026-04-27,Toyota,Aurais,2025,22447,Manuel,LPG & Benzin,Metalik Gri,Kocaeli,1466329,Sahibinden temiz 2025 model Toyota Aurais. Tüm bakımları zamanında yapılmıştır.
100003,2026-04-21,BMW,5 Serisi,2016,120909,Manuel,Hibrit,Füme,Kocaeli,1318636,Sahibinden temiz 2016 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
100004,2026-04-16,Mercedes-Benz,E Serisi,2023,67805,Yarı Otomatik,Benzin,Gri (Gümüş),Kocaeli,1748292,Sahibinden temiz 2023 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
100005,2026-05-15,Toyota,Corolla,2023,47870,Manuel,Benzin,Mavi,Gaziantep,1328195,Sahibinden temiz 2023 model Toyota Corolla. Tüm bakımları zamanında yapılmıştır.
100006,2026-05-09,Renault,Megane,2012,276173,Otomatik,Hibrit,Füme,Antalya,250000,Sahibinden temiz 2012 model Renault Megane. Tüm bakımları zamanında yapılmıştır.
100007,2026-04-25,Fiat,Egea,2025,20514,Yarı Otomatik,Benzin,Mavi,Antalya,1119229,Sahibinden temiz 2025 model Fiat Egea. Tüm bakımları zamanında yapılmıştır.
100008,2026-04-27,Mercedes-Benz,C Serisi,2024,42220,Manuel,Dizel,Metalik Gri,İstanbul,1836670,Sahibinden temiz 2024 model Mercedes-Benz C Serisi. Tüm bakımları zamanında yapılmıştır.
100009,2026-04-29,BMW,1 Serisi,2014,155754,Otomatik,Dizel,Mavi,Gaziantep,1166369,Sahibinden temiz 2014 model BMW 1 Serisi. Tüm bakımları zamanında yapılmıştır.
100010,2026-05-06,Toyota,Corolla,2022,62573,Manuel,Hibrit,Mavi,Adana,1256140,Sahibinden temiz 2022 model Toyota Corolla. Tüm bakımları zamanında yapılmıştır.
100011,2026-05-05,Hyundai,i20,2022,61412,Otomatik,Hibrit,Füme,Adana,907882,Sahibinden temiz 2022 model Hyundai i20. Tüm bakımları zamanında yapılmıştır.
100012,2026-04-23,Toyota,Yaris,2023,59499,Manuel,LPG & Benzin,Gri (Gümüş),Kocaeli,1310751,Sahibinden temiz 2023 model Toyota Yaris. Tüm bakımları zamanında yapılmıştır.
100013,2026-04-19,Hyundai,Accent Blue,2010,310927,Yarı Otomatik,Elektrik,Siyah,Bursa,250000,Sahibinden temiz 2010 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
100014,2026-04-20,Volkswagen,Polo,2016,97654,Otomatik,Benzin,Kırmızı,Ankara,903519,Sahibinden temiz 2016 model Volkswagen Polo. Tüm bakımları zamanında yapılmıştır.
100015,2026-04-20,BMW,1 Serisi,2015,217897,Manuel,Dizel,Gri (Gümüş),Bursa,1123154,Sahibinden temiz 2015 model BMW 1 Serisi. Tüm bakımları zamanında yapılmıştır.
100016,2026-05-09,Toyota,Yaris,2016,118975,Otomatik,Dizel,Metalik Gri,Kocaeli,871537,Sahibinden temiz 2016 model Toyota Yaris. Tüm bakımları zamanında yapılmıştır.
100017,2026-05-01,Toyota,Corolla,2016,178380,Otomatik,Hibrit,Mavi,Adana,782430,Sahibinden temiz 2016 model Toyota Corolla. Tüm bakımları zamanında yapılmıştır.
100018,2026-05-12,BMW,5 Serisi,2017,170142,Yarı Otomatik,Elektrik,Kırmızı,İzmir,1294787,Sahibinden temiz 2017 model BMW 5 Serisi. Tüm bakımları zamanında yapılmıştır.
100019,2026-05-04,Volkswagen,Passat,2016,115766,Yarı Otomatik,LPG & Benzin,Kırmızı,Adana,876351,Sahibinden temiz 2016 model Volkswagen Passat. Tüm bakımları zamanında yapılmıştır.
100020,2026-04-19,Mercedes-Benz,E Serisi,2011,286843,Otomatik,Elektrik,Siyah,Antalya,819735,Sahibinden temiz 2011 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
100021,2026-05-08,Toyota,Corolla,2018,118769,Otomatik,Elektrik,Siyah,Antalya,971846,Sahibinden temiz 2018 model Toyota Corolla. Tüm bakımları zamanında yapılmıştır.
100022,2026-05-07,Hyundai,Accent Blue,2018,91701,Otomatik,LPG & Benzin,Beyaz,Antalya,662448,Sahibinden temiz 2018 model Hyundai Accent Blue. Tüm bakımları zamanında yapılmıştır.
100023,2026-05-13,Hyundai,Tucson,2014,127719,Otomatik,Hibrit,Füme,Antalya,408421,Sahibinden temiz 2014 model Hyundai Tucson. Tüm bakımları zamanında yapılmıştır.
100024,2026-04-21,Volkswagen,Tiguan,2019,79113,Manuel,LPG & Benzin,Mavi,İzmir,1081330,Sahibinden temiz 2019 model Volkswagen Tiguan. Tüm bakımları zamanında yapılmıştır.
100025,2026-04-22,Hyundai,i20,2013,156202,Yarı Otomatik,LPG & Benzin,Mavi,Kocaeli,315697,Sahibinden temiz 2013 model Hyundai i20. Tüm bakımları zamanında yapılmıştır.
100026,2026-05-15,BMW,1 Serisi,2018,141117,Manuel,Dizel,Füme,Kocaeli,1388324,Sahibinden temiz 2018 model BMW 1 Serisi. Tüm bakımları zamanında yapılmıştır.
100027,2026-04-19,Volkswagen,Tiguan,2021,92614,Otomatik,LPG & Benzin,Beyaz,Gaziantep,1161079,Sahibinden temiz 2021 model Volkswagen Tiguan. Tüm bakımları zamanında yapılmıştır.
100028,2026-04-27,Renault,Megane,2019,87040,Manuel,Dizel,Gri (Gümüş),Kocaeli,719440,Sahibinden temiz 2019 model Renault Megane. Tüm bakımları zamanında yapılmıştır.
100029,2026-04-24,Hyundai,Tucson,2016,129415,Yarı Otomatik,Dizel,Siyah,Antalya,505877,Sahibinden temiz 2016 model Hyundai Tucson. Tüm bakımları zamanında yapılmıştır.
100030,2026-04-17,Toyota,Yaris,2015,124858,Otomatik,Elektrik,Mavi,İstanbul,812713,Sahibinden temiz 2015 model Toyota Yaris. Tüm bakımları zamanında yapılmıştır.
100031,2026-04-26,Volkswagen,Golf,2014,139049,Manuel,Dizel,Siyah,İstanbul,741426,Sahibinden temiz 2014 model Volkswagen Golf. Tüm bakımları zamanında yapılmıştır.
100032,2026-05-10,Hyundai,i30,2024,27495,Manuel,Elektrik,Siyah,Ankara,1058757,Sahibinden temiz 2024 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
100033,2026-05-08,Mercedes-Benz,E Serisi,2022,80294,Yarı Otomatik,LPG & Benzin,Siyah,Gaziantep,1679559,Sahibinden temiz 2022 model Mercedes-Benz E Serisi. Tüm bakımları zamanında yapılmıştır.
100034,2026-04-21,Toyota,Aurais,2015,193703,Manuel,Dizel,Gri (Gümüş),Adana,709445,Sahibinden temiz 2015 model Toyota Aurais. Tüm bakımları zamanında yapılmıştır.
100035,2026-05-11,Hyundai,i30,2018,142984,Manuel,LPG & Benzin,Gri (Gümüş),İzmir,585524,Sahibinden temiz 2018 model Hyundai i30. Tüm bakımları zamanında yapılmıştır.
100036,2026-05-08,Renault,Symbol,2010,167036,Otomatik,Elektrik,Mavi,Antalya,250000,Sahibinden temiz 2010 model Renault Symbol. Tüm bakımları zamanında yapılmıştır.
